"","TimeStampEpoch","Symbol","OrderPrice"
"1",1673015280011117056,"OA14Y",61.56
"2",1673015280011151616,"OOOTO",69.37
"3",1673015280011184384,"NQGAH",73.2
"4",1673015280011337728,"D30SM",99.12
"5",1673015280011574016,"Y3SCQ",35.99
"6",1673015280011628544,"Y3SCQ",179.92
"7",1673015280011724288,"Y3SCQ",35.98
"8",1673015280011768832,"Y3SCQ",179.88
"9",1673015280011873792,"Z5HII",48.73
"10",1673015280012196352,"Z5HII",49.4
"11",1673015280012207360,"Z5HII",243.62
"12",1673015280012217344,"Z5HII",246.83
"13",1673015280012220416,"477JY",104.73
"14",1673015280012519936,"NM3VI",102.5
"15",1673015280012582144,"K8OY9",108.52
"16",1673015280013173760,"9S971",124.31
"17",1673015280013239296,"HVR6B",35.8
"18",1673015280013681920,"GIJQX",65.4
"19",1673015280013761280,"GIJQX",66.25
"20",1673015280013770240,"RKG2T",14
"21",1673015280013785600,"1H2XW",133.54
"22",1673015280013788160,"RKG2T",13.89
"23",1673015280014242560,"TBHHD",130.33
"24",1673015280014255616,"TBHHD",132.36
"25",1673015280014449664,"XKOBH",100.34
"26",1673015280015912960,"1NTNT",14.45
"27",1673015280015954432,"1NTNT",14.45
"28",1673015280015988736,"1NTNT",14.45
"29",1673015280017638912,"OA14Y",61.54
"30",1673015280017663744,"OOOTO",69.34
"31",1673015280017674240,"NQGAH",73.17
"32",1673015280017680384,"D30SM",99.1
"33",1673015280021634560,"D30SM",104.02
"34",1673015280021651968,"NQGAH",76.93
"35",1673015280022694400,"OOOTO",71.98
"36",1673015280023591936,"Y3SCQ",182.6
"37",1673015280023789568,"NM3VI",104.29
"38",1.673015280024e+18,"Y3SCQ",36.5
"39",1673015280030939904,"XKOBH",100.03
"40",1673015280031589120,"N06BZ",108.19
"41",1673015280032556544,"QQIWH",3.52
"42",1673015280032563456,"QQIWH",3.51
"43",1673015280032575744,"QQIWH",3.67
"44",1673015280032587264,"QQIWH",3.68
"45",1673015280034130944,"K8OY9",110.39
"46",1673015280053904896,"1H2XW",135.57
"47",1673015280056504064,"GIJQX",66.26
"48",1673015280062006016,"Y3SCQ",35.99
"49",1673015280062072064,"Y3SCQ",179.92
"50",1673015280062645760,"Z5HII",49.39
"51",1673015280062812160,"Z5HII",246.79
"52",1673015280062917120,"OA14Y",63.9
"53",1673015280063142400,"Y3SCQ",179.88
"54",1673015280063256064,"Y3SCQ",35.98
"55",1673015280064986624,"TBHHD",130.37
"56",1673015280065030144,"K8OY9",108.56
"57",1673015280065162240,"477JY",104.77
"58",1673015280065236224,"GIJQX",65.42
"59",1673015280066154240,"1NTNT",14.46
"60",1673015280066208768,"1NTNT",14.46
"61",1673015280067680768,"OOOTO",69.37
"62",1673015280067683328,"D30SM",99.15
"63",1673015280067763712,"NQGAH",73.2
"64",1673015280067823616,"OA14Y",61.56
"65",1673015280069671680,"1NTNT",14.46
"66",1673015280070843136,"XKOBH",100.33
"67",1673015280070929408,"XKOBH",100.02
"68",1673015280073704960,"1NTNT",14.45
"69",1673015280073818112,"Y3SCQ",182.56
"70",1673015280073902080,"OOOTO",71.93
"71",1.673015280074e+18,"D30SM",103.93
"72",1.673015280074e+18,"NQGAH",76.85
"73",1673015280074161152,"N06BZ",108.18
"74",1673015280074401536,"Y3SCQ",36.49
"75",1673015280074451456,"K8OY9",108.52
"76",1673015280074665984,"NM3VI",104.25
"77",1673015280074745856,"TBHHD",130.33
"78",1673015280074828800,"477JY",104.73
"79",1673015280074865920,"1NTNT",14.45
"80",1673015280074916352,"GIJQX",65.4
"81",1673015280074932480,"1NTNT",14.45
"82",1673015280081693440,"Z5HII",243.58
"83",1673015280082529792,"Z5HII",48.72
"84",1673015280084440320,"K8OY9",110.35
"85",1673015280095810816,"NM3VI",102.46
"86",1673015280098582016,"N06BZ",108.49
"87",1673015280100128768,"N06BZ",108.5
"88",1673015280100235520,"QGY3D",36.54
"89",1673015280100272128,"XKOBH",100.34
"90",1673015280100536832,"P29R0",29.93
"91",1673015280103930880,"1H2XW",135.53
"92",1673015280106863360,"GIJQX",66.25
"93",1673015280111469568,"OSFG6",36.2
"94",1673015280115011840,"OA14Y",63.88
"95",1673015280124086272,"OA14Y",63.9
"96",1673015280124381440,"NQGAH",76.83
"97",1673015280124406272,"D30SM",103.88
"98",1673015280126622976,"NQGAH",76.85
"99",1673015280126633984,"D30SM",103.9
"100",1673015280130274560,"D30SM",99.17
"101",1673015280130281984,"NQGAH",73.22
"102",1.673015280131e+18,"OOOTO",69.39
"103",1673015280131519488,"K8OY9",108.56
"104",1673015280131524608,"477JY",104.77
"105",1673015280148177664,"NM3VI",102.5
"106",1673015280151487744,"Z5HII",49.38
"107",1673015280151502336,"Y3SCQ",36.48
"108",1673015280151568640,"Z5HII",246.75
"109",1673015280151577856,"Y3SCQ",182.52
"110",1673015280151833344,"OOOTO",71.9
"111",1.673015280153e+18,"N06BZ",108.49
"112",1673015280153035520,"XKOBH",100.33
"113",1673015280157277696,"3PM7N",61.32
"114",1673015280157303808,"XKOBH",100.01
"115",1673015280157328640,"N06BZ",108.16
"116",1673015280174217984,"OA14Y",63.88
"117",1673015280179387392,"D30SM",103.83
"118",1673015280179394560,"NQGAH",76.78
"119",1673015280194597120,"477JY",106.49
"120",1673015280195813888,"Z5HII",48.73
"121",1673015280195835136,"GIJQX",65.42
"122",1673015280195837696,"TBHHD",130.37
"123",1673015280195852800,"OA14Y",61.59
"124",1673015280195902720,"Z5HII",243.62
"125",1673015280196324352,"477JY",106.53
"126",1673015280196894720,"OA14Y",61.56
